id,student_id,date,status,reason
1,1,2026-04-03,Present,
2,1,2026-04-06,Present,
3,1,2026-05-02,Present,
4,1,2026-05-03,Present,
5,1,2026-05-15,Present,
6,1,2026-05-06,Present,
7,1,2026-06-06,Present,
8,1,2026-05-03,Present,
9,1,2026-04-26,Absent,
10,1,2026-03-28,Present,
11,2,2026-04-10,Present,
12,2,2026-03-31,Present,
13,2,2026-04-29,Present,
14,2,2026-04-11,Present,
15,2,2026-03-29,Absent,Sick
16,2,2026-04-02,Absent,
17,2,2026-05-31,Present,
18,2,2026-05-20,Absent,
19,2,2026-04-12,Present,
20,2,2026-03-12,Present,
21,3,2026-04-29,Present,
22,3,2026-05-31,Present,
23,3,2026-03-25,Present,
24,3,2026-03-24,Present,
25,3,2026-04-30,Present,
26,3,2026-05-01,Present,
27,3,2026-04-11,Absent,
28,3,2026-03-20,Present,
29,3,2026-04-28,Present,
30,3,2026-04-25,Present,
31,4,2026-05-30,Present,
32,4,2026-03-14,Present,
33,4,2026-03-15,Present,
34,4,2026-05-07,Present,
35,4,2026-03-29,Present,
36,4,2026-05-20,Present,
37,4,2026-04-17,Present,
38,4,2026-06-03,Present,
39,4,2026-03-29,Present,
40,4,2026-05-23,Present,
41,5,2026-04-30,Present,
42,5,2026-05-16,Present,
43,5,2026-04-03,Present,
44,5,2026-03-29,Present,
45,5,2026-05-12,Present,
46,5,2026-05-04,Present,
47,5,2026-06-03,Present,
48,5,2026-04-27,Present,
49,5,2026-03-17,Present,
50,5,2026-03-18,Present,
51,6,2026-04-22,Present,
52,6,2026-03-21,Present,
53,6,2026-05-05,Present,
54,6,2026-03-24,Present,
55,6,2026-03-27,Present,
56,6,2026-03-17,Present,
57,6,2026-03-15,Present,
58,6,2026-05-18,Present,
59,6,2026-04-12,Present,
60,6,2026-04-03,Absent,
61,7,2026-03-24,Present,
62,7,2026-03-30,Present,
63,7,2026-05-28,Present,
64,7,2026-04-19,Present,
65,7,2026-06-03,Present,
66,7,2026-04-02,Present,
67,7,2026-04-02,Present,
68,7,2026-04-18,Present,
69,7,2026-05-03,Present,
70,7,2026-05-21,Present,
71,8,2026-04-30,Present,
72,8,2026-03-28,Present,
73,8,2026-05-18,Present,
74,8,2026-05-15,Present,
75,8,2026-05-04,Present,
76,8,2026-06-07,Present,
77,8,2026-05-15,Present,
78,8,2026-04-03,Present,
79,8,2026-03-14,Present,
80,8,2026-05-27,Present,
81,9,2026-04-25,Absent,Sick
82,9,2026-03-23,Present,
83,9,2026-05-12,Present,
84,9,2026-03-22,Present,
85,9,2026-04-01,Present,
86,9,2026-06-04,Present,
87,9,2026-04-21,Present,
88,9,2026-04-15,Present,
89,9,2026-04-25,Present,
90,9,2026-03-28,Present,
91,10,2026-05-03,Present,
92,10,2026-05-18,Present,
93,10,2026-05-04,Present,
94,10,2026-03-26,Present,
95,10,2026-05-17,Present,
96,10,2026-04-20,Present,
97,10,2026-03-26,Present,
98,10,2026-03-16,Present,
99,10,2026-06-08,Present,
100,10,2026-03-30,Present,
101,11,2026-03-31,Present,
102,11,2026-06-03,Present,
103,11,2026-04-20,Present,
104,11,2026-05-02,Present,
105,11,2026-06-03,Present,
106,11,2026-05-19,Present,
107,11,2026-03-25,Present,
108,11,2026-04-21,Present,
109,11,2026-03-26,Present,
110,11,2026-04-28,Present,
111,12,2026-05-04,Present,
112,12,2026-06-03,Present,
113,12,2026-04-11,Present,
114,12,2026-04-26,Present,
115,12,2026-05-22,Present,
116,12,2026-05-15,Absent,Sick
117,12,2026-05-08,Present,
118,12,2026-06-08,Absent,Sick
119,12,2026-04-26,Absent,Sick
120,12,2026-03-15,Present,
121,13,2026-04-24,Present,
122,13,2026-06-06,Present,
123,13,2026-05-05,Present,
124,13,2026-05-06,Present,
125,13,2026-06-08,Present,
126,13,2026-04-11,Present,
127,13,2026-05-31,Present,
128,13,2026-04-28,Present,
129,13,2026-03-21,Present,
130,13,2026-04-21,Present,
131,14,2026-05-21,Present,
132,14,2026-03-13,Present,
133,14,2026-04-27,Present,
134,14,2026-03-28,Present,
135,14,2026-04-12,Present,
136,14,2026-03-19,Present,
137,14,2026-03-27,Present,
138,14,2026-05-29,Absent,Sick
139,14,2026-03-30,Present,
140,14,2026-04-23,Present,
141,15,2026-05-06,Present,
142,15,2026-04-07,Present,
143,15,2026-05-11,Present,
144,15,2026-05-19,Present,
145,15,2026-03-25,Present,
146,15,2026-03-30,Present,
147,15,2026-04-27,Present,
148,15,2026-05-26,Present,
149,15,2026-05-27,Present,
150,15,2026-04-05,Present,
151,16,2026-05-02,Absent,Sick
152,16,2026-05-30,Present,
153,16,2026-03-25,Present,
154,16,2026-03-29,Present,
155,16,2026-04-16,Present,
